recipe_id,recipe_name,description,category,price,isSpecial,createdAt,updatedAt,ingredients,estimated_cost,profit_margin
25ad9b72-bca1-45ed-9a5a-ba2cbe2750c2,Beef Burger,Delicious beef burger made with fresh ingredients.,Main Course,12.99,Yes,2025-03-30T07:06:36.058Z,2025-03-30T07:06:36.058Z,1.62 liter Heavy Cream; 1.33 kg Lettuce; 1.34 kg Sugar; 0.69 kg Canned Beans,3.01,9.98
0ed4558a-e456-498f-b1c2-58de210cde5a,Caesar Salad,Delicious caesar salad made with fresh ingredients.,Salad,10.99,No,2025-03-30T07:06:35.425Z,2025-03-30T07:06:35.425Z,0.16 kg Salmon Fillet; 1.14 kg Lettuce; 1.49 liter Vinegar,2.77,8.22
80744c84-d906-430c-824f-0df6cbe35910,Cheese Platter,Delicious cheese platter made with fresh ingredients.,Appetizer,15.99,No,2025-03-30T07:06:36.366Z,2025-03-30T07:06:36.366Z,1.99 kg Sugar; 0.73 kg Black Pepper; 1.03 kg Bell Peppers; 1.26 kg Garlic; 0.6 kg Ground Beef,5.00,10.99
dd7474cc-2af2-4b97-ac3f-26257d30bf7c,Chocolate Cake,Delicious chocolate cake made with fresh ingredients.,Dessert,6.99,No,2025-03-30T07:06:34.808Z,2025-03-30T07:06:34.808Z,0.11 kg Butter; 1.12 liter Soy Sauce,0.41,6.58
ebfc37fc-fc8a-43ef-8bc3-3caaa2d94553,Creamy Tomato Soup,Delicious creamy tomato soup made with fresh ingredients.,Soup,8.99,No,2025-03-30T07:06:34.507Z,2025-03-30T07:06:34.507Z,1.08 kg Garlic; 1.97 kg Potatoes; 1.22 kg Canned Beans; 0.11 kg Salt,2.35,6.64
98a4cc71-c344-47ff-a53b-b1326eb742bd,French Fries,Delicious french fries made with fresh ingredients.,Side Dish,5.99,No,2025-03-30T07:06:37.393Z,2025-03-30T07:06:37.393Z,1.93 kg Flour; 1.59 liter Olive Oil; 0.62 kg Canned Tomatoes; 0.79 kg Shrimp; 1.65 liter Heavy Cream,5.90,0.09
dec7a4e0-969c-4e09-9c13-89cfffe6dcbe,Garlic Bread,Delicious garlic bread made with fresh ingredients.,Side Dish,4.99,No,2025-03-30T07:06:35.003Z,2025-03-30T07:06:35.003Z,0.38 kg Canned Tomatoes; 1.03 kg Butter; 1.51 kg Chicken Breast; 0.45 liter Olive Oil; 1.43 kg Garlic,7.11,-2.12
5f66fae1-14d0-4afb-b5ec-492f066f0210,Grilled Chicken Salad,Delicious grilled chicken salad made with fresh ingredients.,Salad,12.99,No,2025-03-30T07:06:33.715Z,2025-03-30T07:06:33.715Z,0.34 kg Salt; 1.1 kg Tomatoes,0.30,12.69
0a680e2e-dfe4-430e-b044-e824196ef9ad,Mushroom Risotto,Delicious mushroom risotto made with fresh ingredients.,Main Course,16.99,Yes,2025-03-30T07:06:35.675Z,2025-03-30T07:06:35.675Z,1.12 kg Salmon Fillet; 1.92 kg Rosemary; 1.54 kg Cheddar Cheese; 1.73 liter Milk; 1.83 kg Chicken Breast,34.58,-17.59
a2c24b58-4903-46a4-b553-604cfb3150f5,Pancakes,Delicious pancakes made with fresh ingredients.,Breakfast,9.99,No,2025-03-30T07:06:36.734Z,2025-03-30T07:06:36.734Z,1.31 kg Cheddar Cheese; 1.79 kg Salmon Fillet; 0.7 liter Vegetable Oil,14.62,-4.63
c36b41ba-67fb-48e1-aca4-f4b736b4c197,Salmon with Herbs,Delicious salmon with herbs made with fresh ingredients.,Main Course,19.99,No,2025-03-30T07:06:36.988Z,2025-03-30T07:06:36.988Z,1.96 kg Rosemary; 1.73 kg Flour; 0.83 kg Bell Peppers; 1.31 kg Onions; 1.08 kg Potatoes,19.48,0.51
5329854e-9333-43ff-8da0-9a5a0aff069e,Spaghetti Bolognese,Delicious spaghetti bolognese made with fresh ingredients.,Main Course,14.99,No,2025-03-30T07:06:33.906Z,2025-03-30T07:06:33.906Z,0.67 liter Vinegar; 0.46 kg Garlic; 1.56 kg Lettuce; 0.13 kg Shrimp; 1.89 kg Canned Beans,4.71,10.28
2059017c-a29a-4824-8117-e744022dc64b,Tiramisu,Delicious tiramisu made with fresh ingredients.,Dessert,8.5,No,2025-03-30T07:06:38.008Z,2025-03-30T07:06:38.008Z,1.66 kg Potatoes; 1.07 kg Cheddar Cheese; 0.66 kg Black Pepper,1.40,7.10
00cdf143-dbe2-4d79-aaa2-e96e105b1d18,Vegetable Soup,Delicious vegetable soup made with fresh ingredients.,Soup,7.99,No,2025-03-30T07:06:37.781Z,2025-03-30T07:06:37.781Z,0.82 kg Cheddar Cheese; 0.39 kg Butter,0.72,7.27
12d03a53-e959-43f7-8713-4412ff216bb9,Vegetable Stir Fry,Delicious vegetable stir fry made with fresh ingredients.,Main Course,13.5,Yes,2025-03-30T07:06:34.304Z,2025-03-30T07:06:34.304Z,1.91 kg Butter; 0.45 kg Bell Peppers,2.19,11.31
